" ","score","status","future"
"Index",65.93,,60.99
"Food Provision",29.8,28.14,31.45
". Fisheries",19.53,18.74,20.33
". Mariculture",38.89,36.47,41.3
"Artisanal Fishing Opportunity",51.37,49.11,53.63
"Natural Products",82.43,78.75,86.11
"Carbon Storage",60.02,83.58,36.45
"Coastal Protection",60.06,83.58,36.54
"Tourism & Recreation",100,100,100
"Coastal Livelihoods & Economies",99.47,98.93,100
". Livelihoods",98.93,97.87,100
". Economies",100,100,100
"Sense of Place",36.6,36.99,36.21
". Iconic Species",68.61,69.52,67.71
". Lasting Special Places",4.58,4.45,4.72
"Clean Waters",66.96,68.33,65.58
"Biodiversity",69.59,82.96,56.22
". Habitats",58.68,83.58,33.78
". Species",78.55,82.45,74.65
